;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV2477;Warrnambool;;;;;;;;;;;;;x
PROV1795;Bambuhu;;;;;;;;;;;;;x
PROV1905;Sia;;;;;;;;;;;;;x
PROV1981;Elba;;;;;;;;;;;;;x
PROV2131;Falkland & South Georgia;;;;;;;;;;;;;x
PROV3322;Panaki;;;;;;;;;;;;;x
FRA_411;Louréne;;;;;;;;;;;;x
PROV934;Samawah;;;;;;;;;;;;x
AUS_627;East Cislavy;;;;;;;;;;;;x
ABU_1162;Arabian Gulf;;;;;;;;;;;;x
EGY_897;Western Syria;;;;;;;;;;;;x
EGY_903;Eastern Syria;;;;;;;;;;;;x
PROV928;Baqubah;;;;;;;;;;;;x
PROV1813;Hasakeh-Magarisu;;;;;;;;;;;;x
PROV907;Deir ez-Zor;;;;;;;;;;;;x
PROV901;Raqqah;;;;;;;;;;;;x
PROV2133;Gizab;;;;;;;;;;;;x
PROV1214;Zaranj;;;;;;;;;;;;x
PROV582;Bielefeld;;;;;;;;;;;;x
FRA_400;Champagne;;;;;;;;;;;;x
PROV2346;Colonia;;;;;;;;;;;;x
PROV1447;Taliabu;;;;;;;;;;;;x
BEL_1977;Lower Congo;;;;;;;;;;;;x
TUR_832;Thessaly;;;;;;;;;;;;x
EGY_1758;Western Desert;;;;;;;;;;;;x
PROV1895;Daloa;;;;;;;;;;;;x
FRA_1775;Trab el Beidan;;;;;;;;;;;;x
PROV2721;Heligoland Bight;;;;;;;;;;;;x
RUS_959;Volyn;;;;;;;;;;;;x
druze;Druze;;;;;;;;;;;;x
PROV911;Ma'an;;;;;;;;;;;;x
PROV910;Azraq;;;;;;;;;;;;x
PROV2582;Kotor;;;;;;;;;;;;x
PROV1839;Al-Fula;;;;;;;;;;;;x
PROV1739;An Nuhud;;;;;;;;;;;;x
PROV1806;Bayuda;;;;;;;;;;;;x
PROV2046;Mbeya;;;;;;;;;;;;x
PROV1850;Keren;;;;;;;;;;;;x
AUS_733;Friuli;;;;;;;;;;;;x
PAP_741;Emilia-Romagna;;;;;;;;;;;;x
mining_district;Mining District;;;;;;;;;;;;x
new_world_semidesert;Desert Scrublands;;;;;;;;;;;;x
new_world_desert;Desert;;;;;;;;;;;;x
new_world_boreal;Taiga;;;;;;;;;;;;x
new_world_montane_tundra;Alpine Tundra;;;;;;;;;;;;x
new_world_arctic;Tundra;;;;;;;;;;;;x
new_world_mountain;Montane Grassland;;;;;;;;;;;;x
new_world_jungle;Jungle;;;;;;;;;;;;x
new_world_plains;Grassland;;;;;;;;;;;;x
new_world_small_island;Island;;;;;;;;;;;;x
arid_climate;Arid Climate;;;;;;;;;;;;x
CANAL_6;English Channel;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
GRE_837;Sterea Ellada;;;;;;;;;;;;x
PROV2669;Sondrio;;;;;;;;;;;;x
PROV8;Belluno;;;;;;;;;;;;x
PROV2351;Magdalena;;;;;;;;;;;;x
PROV10;Pescara;;;;;;;;;;;;x
PROV3318;Lake Saimaa;;;;;;;;;;;;x
PROV3317;Lake Päijänne;;;;;;;;;;;;x
PROV3316;Lake Oulujärvi;;;;;;;;;;;;x
PROV2715;Suuri Saari;;;;;;;;;;;;x
PROV3314;Lake Storsjön;;;;;;;;;;;;x
PROV3313;Lake Siljan;;;;;;;;;;;;x
PROV3312;Lake Hjälmaren;;;;;;;;;;;;x
PROV3311;Lough Neagh;;;;;;;;;;;;x
PROV3310;Hulun Lake;;;;;;;;;;;;x
PROV3309;Namak Lake;;;;;;;;;;;;x
PROV3308;Khar Us Lake;;;;;;;;;;;;x
PROV3306;Uvs Lake;;;;;;;;;;;;x
PROV3305;Khovsgol Lake;;;;;;;;;;;;x
PROV3304;Lake Zaysan;;;;;;;;;;;;x
PROV3302;Khanka Lake;;;;;;;;;;;;x
PROV3300;Siling Lake;;;;;;;;;;;;x
PROV3299;Chott Chergui;;;;;;;;;;;;x
PROV3298;Chott el Hodna;;;;;;;;;;;;x
PROV3297;Chott Melghir;;;;;;;;;;;;x
PROV3296;Chott el Djerid;;;;;;;;;;;;x
PROV3294;Lake Mweru;;;;;;;;;;;;x
PROV3293;Lake Rukwa;;;;;;;;;;;;x
PROV3292;Lake Argyle;;;;;;;;;;;;x
PROV3291;Lake Mackay;;;;;;;;;;;;x
PROV3289;Scottish Channel;;;;;;;;;;;;x
PROV3287;Lake Gairdner;;;;;;;;;;;;x
PROV3285;Fagnano Lake;;;;;;;;;;;;x
PROV1531;Tombara;;;;;;;;;;;x
PROV2537;Birara;;;;;;;;;;;x
PROV158;Grand Portage;;;;;;;;;;;x
PROV29;Kyzylkum;;;;;;;;;;;x
PROV2595;Nunavut;;;;;;;;;;;x
PROV25;Old Bow Fort;;;;;;;;;;;x
PROV6;Selkirk;;;;;;;;;;;x
PROV35;Fort Pitt;;;;;;;;;;;x
PROV28;Jasper;;;;;;;;;;;x
PROV26;Rocky Mountain House;;;;;;;;;;;x
PROV22;Buckingham House;;;;;;;;;;;x
PROV24;Fort Chesterfield;;;;;;;;;;;x
PROV34;Fort Carlton;;;;;;;;;;;x
PROV33;Battleford;;;;;;;;;;;x
PROV41;Fort Ellice;;;;;;;;;;;x
PROV2594;Osnaburgh House;;;;;;;;;;;x
PROV49;Rat Portage;;;;;;;;;;;x
PROV52;Sudbury;;;;;;;;;;;x
PROV69;Petit-Sault;;;;;;;;;;;;x
PROV683;Valbrich;;;;;;;;;;;x
PROV43;Clarksville;;;;;;;;;;;x
PROV134;Fort Parker;;;;;;;;;;;x
PROV135;Llano Estacado;;;;;;;;;;;x
